SiteID,StudyID,Age,PF_SF,Cont_F,Point_obs,Mist_nets,Transect,Vocal,Samp_Meth,No_Methods,Sp_R,,,,
1,1,,PF,,1,0,0,1,"Point obs, vocalisations",2,46,,,,
2,1,5,SF,No,1,0,0,1,"Point obs, vocalisations",2,32,,,,
3,2,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,141,,,,
4,2,7.5,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,55,,,,
5,3,,PF,,1,0,0,0,Point obs,1,133,,,,
6,3,1,SF,Yes,1,0,0,0,Point obs,1,145,,,,
7,4,,PF,,0,1,0,0,Mist nets,1,50,,,,
8,4,3,SF,Unk,0,1,0,0,Mist nets,1,58,,,,
9,4,11.5,SF,Unk,0,1,0,0,Mist nets,1,63,,,,
10,5,,PF,,1,0,0,0,Point obs,1,50,,,,
11,5,2,SF,No,1,0,0,0,Point obs,1,59,,,,
12,5,5,SF,No,1,0,0,0,Point obs,1,62,,,,
13,6,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,51,,,,
14,6,4,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,55,,,,
18,8,,PF,,1,0,0,1,"Point obs, vocalisations",2,84,,,,
19,8,1,SF,No,1,0,0,1,"Point obs, vocalisations",2,47,,,,
20,8,5,SF,No,1,0,0,1,"Point obs, vocalisations",2,67,,,,
21,8,10,SF,No,1,0,0,1,"Point obs, vocalisations",2,66,,,,
22,8,25,SF,No,1,0,0,1,"Point obs, vocalisations",2,75,,,,
23,8,100,SF,No,1,0,0,1,"Point obs, vocalisations",2,83,,,,
24,9,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",1,156,,,,
25,9,5,SF,No,1,1,0,1,"Point obs, vocalisations, mist nets",1,202,,,,
26,9,30,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",1,96,,,,
29,11,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,29,,,,
30,11,40,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,29,,,,
31,12,,PF,,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,179,,,,
32,12,16.5,SF,Yes,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,125,,,,
33,13,,PF,,1,0,0,1,"Point obs, vocalisations",2,125,,,,
34,13,17.5,SF,Unk,1,0,0,1,"Point obs, vocalisations",2,140,,,,
35,14,,PF,,0,0,1,1,"Line transect - Observation, vocalisations",2,108,,,,
36,14,4.5,SF,Yes,0,0,1,1,"Line transect - Observation, vocalisations",2,62,,,,
37,14,11,SF,Yes,0,0,1,1,"Line transect - Observation, vocalisations",2,79,,,,
38,14,27.5,SF,Yes,0,0,1,1,"Line transect - Observation, vocalisations",2,70,,,,
39,15,,PF,,1,0,0,1,"Point obs, vocalisations",2,17,,,,
40,15,50,SF,No,1,0,0,1,"Point obs, vocalisations",2,21,,,,
41,16,,PF,,1,0,0,1,"Point obs, vocalisations",2,15,,,,
42,16,5,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,15,,,,
47,18,,PF,,1,0,0,1,"Point obs, vocalisations",2,29,,,,
48,18,85,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,40,,,,
51,20,,PF,,0,0,0,1,Vocalisations,1,59,,,,
52,20,13,SF,Yes,0,0,0,1,Vocalisations,1,77,,,,
53,21,,PF,,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,91,,,,
54,21,7,SF,No,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,67,,,,
55,22,,PF,,0,0,1,1,"Line transect - Observation, vocalisations",2,18,,,,
56,22,10,SF,Unk,0,0,1,1,"Line transect - Observation, vocalisations",2,18,,,,
57,22,30,SF,Unk,0,0,1,1,"Line transect - Observation, vocalisations",2,18,,,,
60,24,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,84,,,,
61,24,20,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,59,,,,
62,25,,PF,,0,1,0,0,Mist nets,1,60,,,,
63,25,50,SF,Yes,0,1,0,0,Mist nets,1,46,,,,
64,26,,PF,,1,0,0,1,"Point obs, vocalisations",2,133,,,,
65,26,9,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,135,,,,
66,27,,PF,,1,0,0,1,"Point obs, vocalisations",2,47,,,,
67,27,5,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,32,,,,
68,27,15,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,27,,,,
69,28,,PF,,1,0,0,1,"Point obs, vocalisations",2,153,,,,
70,28,4,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,124,,,,
71,29,,PF,,1,0,0,1,"Point obs, vocalisations",2,104,,,,
72,29,50,SF,Unk,1,0,0,1,"Point obs, vocalisations",2,118,,,,
73,30,,PF,,0,1,0,0,Mist nets,1,63,,,,
74,30,17.5,SF,Yes,0,1,0,0,Mist nets,1,37,,,,
75,30,17.5,SF,No,0,1,0,0,Mist nets,1,23,,,,
76,30,40,SF,No,0,1,0,0,Mist nets,1,56,,,,
77,31,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,50,,,,
78,31,17.5,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,68,,,,
81,33,,PF,,1,0,0,1,"Point obs, vocalisations",2,52,,,,
82,33,4,SF,Yes,1,0,0,1,"Point obs, vocalisations",2,35,,,,
83,33,3.5,SF,No,1,0,0,1,"Point obs, vocalisations",2,16,,,,
84,33,5.5,SF,No,1,0,0,1,"Point obs, vocalisations",2,32,,,,
85,34,,PF,,1,0,0,1,"Point obs, vocalisations",2,32,,,,
86,34,14,SF,No,1,0,0,1,"Point obs, vocalisations",2,31,,,,
87,34,5,SF,No,1,0,0,1,"Point obs, vocalisations",2,31,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
